rid,Root.word,Rating
R0449,vary,Weak
R0449,risk,Weak
R0449,elevate,Weak
R0449,decline,Weak
R0449,present,None
R0449,response,Strong
R0449,lead,Strong
R0449,similar,None
R0449,excess,Moderate
R0449,increase,Weak
R0449,contribute,Strong
R0449,marker,Weak
R0449,indicate,Weak
R0449,face,Weak
R0449,effect,Strong
R0841,compare,Strong
R0841,consistent,Strong
R0841,produce,Strong
R0841,improve,Strong
R0841,predict,Strong
R0841,contribute,Moderate
R0841,explain,Strong
R0841,relate,Strong
R0841,higher,Strong
R0841,lead,Strong
R0841,vary,Moderate
R0841,alter,Strong
R0841,likely,Moderate
R0841,demonstrate,Moderate
R0841,impact,Strong
R0841,increase,Strong
R0841,factor,Moderate
R0841,better,Strong
R0841,worse,Strong
R0841,result,Strong
R0841,effect,Strong
R0841,link,Moderate
R0841,decrease,Strong
R0841,elevate,Strong
R0841,decline,Strong
R0841,greater,Strong
R0841,associate,None
R0841,determinant,Moderate
R0841,correlate,None
R0841,cause,Strong
R0841,observe,Moderate
R0841,differ,Strong
R0841,indicate,Moderate
R0841,twice,Strong
R0841,likelihood,Moderate
R0841,less,Strong
R0841,maintain,Strong
R0841,encourage,Weak
R0841,similar,Strong
R0841,response,Moderate
R0841,lower,Strong
R0841,risk factor,Moderate
R0841,present,Moderate
R0841,confer,Strong
R0841,enhance,Strong
R0841,affect,Strong
R0841,role,Moderate
R0841,prevent,Strong
R0841,effective,Strong
R0841,excess,Strong
R0841,occur,Moderate
R0841,face,Moderate
R0841,attribute,Strong
R0841,reduce,Strong
R0841,experience,Strong
R0841,protect,Strong
R0841,precede,Moderate
R0841,influence,Moderate
R0841,reveal,Moderate
R0841,marker,Moderate
R0841,trend,Moderate
R0841,due,Strong
R0841,appear,Weak
R0841,achieve,Strong
R0841,risk,Moderate
R0841,change,Strong
R0841,benefit,Strong
R0871,less,Moderate
R0871,greater,Moderate
R0871,observe,Weak
R0871,benefit,Strong
R0871,effective,Moderate
R0871,effect,Moderate
R0871,result,Moderate
R0871,predict,Weak
R0871,cause,Strong
R0871,appear,None
R0871,indicate,None
R0871,determinant,Moderate
R0871,link,Weak
R0871,demonstrate,None
R0871,likelihood,Moderate
R0871,decline,Moderate
R0871,confer,Moderate
R0871,marker,None
R0871,lower,Moderate
R0871,improve,Moderate
R0871,role,Weak
R0871,due,Moderate
R0871,risk,Moderate
R0871,precede,Weak
R0871,excess,Weak
R0871,encourage,None
R0871,protect,Moderate
R0871,better,Moderate
R0871,associate,Moderate
R0871,affect,Strong
R0871,factor,None
R0871,likely,Weak
R0871,enhance,Moderate
R0871,vary,Weak
R0871,elevate,Moderate
R0871,response,Moderate
R0871,reveal,None
R0871,similar,Weak
R0871,trend,None
R0871,decrease,Moderate
R0871,prevent,Strong
R0871,attribute,Weak
R0871,consistent,Weak
R0871,compare,Weak
R0871,impact,Moderate
R0871,achieve,Moderate
R0871,relate,Moderate
R0871,contribute,Moderate
R0871,reduce,Strong
R0871,lead,Strong
R0871,present,Weak
R0871,increase,Moderate
R0871,change,Moderate
R0871,produce,Moderate
R0871,explain,Moderate
R0871,correlate,Weak
R0871,twice,Moderate
R0871,alter,Moderate
R0871,maintain,Weak
R0871,higher,Moderate
R0871,differ,Weak
R0871,face,None
R0871,influence,Moderate
R0871,worse,Moderate
R0871,occur,Moderate
R0871,experience,Moderate
R0871,risk factor,Moderate
R0945,present,Weak
R0945,prevent,Strong
R0945,likelihood,Moderate
R0945,vary,None
R0945,lead,Strong
R0945,enhance,Strong
R0945,impact,Strong
R0945,demonstrate,Moderate
R0945,decrease,Moderate
R0945,greater,Weak
R0945,associate,Weak
R0945,elevate,Weak
R0945,factor,None
R0945,reduce,Strong
R0945,less,Weak
R0945,reveal,Weak
R0945,alter,Strong
R0945,attribute,Moderate
R0945,decline,Weak
R0945,compare,Weak
R0945,observe,Weak
R0945,result,Weak
R0945,confer,Strong
R0945,determinant,Moderate
R0945,higher,Weak
R0945,precede,None
R0945,influence,Strong
R0945,due,Moderate
R0945,experience,Weak
R0945,risk factor,Weak
R0945,protect,Strong
R0945,explain,None
R0945,correlate,Weak
R0945,marker,Weak
R0945,improve,Strong
R0945,trend,Weak
R0945,effect,Strong
R0945,cause,Strong
R0945,affect,Strong
R0945,twice,None
R0945,increase,Strong
R0945,predict,None
R0945,effective,Strong
R0945,better,Moderate
R0945,achieve,Moderate
R0945,change,Weak
R0945,appear,None
R0945,response,Strong
R0945,relate,Weak
R0945,produce,Strong
R0945,worse,Weak
R0945,role,Moderate
R0945,indicate,None
R0945,occur,None
R0945,link,Weak
R0945,similar,None
R0945,face,Moderate
R0945,differ,None
R0945,encourage,None
R0945,contribute,Moderate
R0945,maintain,Weak
R0945,lower,Moderate
R0945,excess,Weak
R0945,risk,Moderate
R0945,benefit,Strong
R0945,consistent,None
R0945,likely,Moderate
R1322,risk,Strong
R1322,reveal,Weak
R1322,contribute,Strong
R1322,determinant,Moderate
R1322,face,None
R1322,occur,Weak
R1322,maintain,Moderate
R1322,compare,None
R1322,enhance,Moderate
R1322,prevent,Strong
R1322,decrease,Weak
R1322,associate,None
R1322,reduce,Weak
R1322,factor,Moderate
R1322,lower,Weak
R1322,differ,None
R1322,protect,Strong
R1322,predict,Weak
R1322,cause,Strong
R1322,trend,Weak
R1322,twice,Weak
R1322,confer,Strong
R1322,produce,Strong
R1322,likelihood,Weak
R1322,elevate,Weak
R1322,consistent,None
R1322,lead,Strong
R1322,result,Strong
R1322,impact,Moderate
R1322,worse,Weak
R1322,risk factor,Strong
R1322,similar,Weak
R1322,effective,Strong
R1322,vary,Weak
R1322,better,Weak
R1322,role,Moderate
R1322,encourage,Moderate
R1322,marker,Moderate
R1322,indicate,Weak
R1322,effect,Strong
R1322,benefit,Strong
R1322,observe,Weak
R1322,present,Weak
R1322,achieve,Moderate
R1322,response,Moderate
R1322,attribute,Strong
R1322,experience,Weak
R1322,precede,None
R1322,improve,Moderate
R1322,likely,Weak
R1322,decline,Weak
R1322,appear,Weak
R1322,explain,Strong
R1322,excess,Strong
R1322,demonstrate,Weak
R1322,link,Weak
R1322,influence,Moderate
R1322,relate,Weak
R1322,less,Weak
R1322,affect,Moderate
R1322,change,Moderate
R1322,correlate,Weak
R1322,due,Strong
R1322,higher,Moderate
R1322,greater,Moderate
R1322,alter,Moderate
R1322,increase,Moderate
R1470,lower,Moderate
R1470,decrease,Moderate
R1470,demonstrate,None
R1470,precede,Moderate
R1470,appear,Weak
R1470,increase,Moderate
R1470,response,Weak
R1470,likely,Weak
R1470,determinant,Moderate
R1470,reduce,Moderate
R1470,risk,Moderate
R1470,vary,Weak
R1470,attribute,Strong
R1470,less,Moderate
R1470,encourage,Weak
R1470,excess,Moderate
R1470,consistent,None
R1470,relate,Weak
R1470,prevent,Moderate
R1470,face,None
R1470,due,Strong
R1470,compare,Weak
R1470,enhance,Moderate
R1470,elevate,Moderate
R1470,observe,Weak
R1470,experience,None
R1470,impact,Moderate
R1470,contribute,Moderate
R1470,role,Weak
R1470,factor,Weak
R1470,confer,Moderate
R1470,trend,Weak
R1470,occur,Weak
R1470,reveal,None
R1470,alter,Moderate
R1470,associate,Weak
R1470,higher,Moderate
R1470,benefit,Moderate
R1470,predict,Weak
R1470,decline,Moderate
R1470,present,Weak
R1470,effective,Moderate
R1470,greater,Moderate
R1470,affect,Moderate
R1470,correlate,Weak
R1470,change,Weak
R1470,effect,Moderate
R1470,influence,Moderate
R1470,explain,Strong
R1470,worse,Moderate
R1470,protect,Moderate
R1470,maintain,Weak
R1470,indicate,Weak
R1470,twice,Moderate
R1470,produce,Weak
R1470,risk factor,Weak
R1470,lead,Strong
R1470,marker,Weak
R1470,differ,Weak
R1470,improve,Moderate
R1470,cause,Strong
R1470,achieve,Moderate
R1470,link,Weak
R1470,result,Moderate
R1470,similar,Weak
R1470,better,Moderate
R1470,likelihood,Moderate
R1879,confer,Moderate
R1879,observe,None
R1879,enhance,Strong
R1879,vary,None
R1879,benefit,Strong
R1879,maintain,Moderate
R1879,risk,Moderate
R1879,result,Strong
R1879,improve,Strong
R1879,effective,Strong
R1879,worse,Weak
R1879,indicate,Weak
R1879,similar,Weak
R1879,relate,None
R1879,decrease,Strong
R1879,risk factor,Moderate
R1879,appear,Weak
R1879,explain,Strong
R1879,link,None
R1879,impact,Strong
R1879,likely,None
R1879,excess,None
R1879,achieve,Moderate
R1879,marker,Moderate
R1879,protect,Strong
R1879,likelihood,None
R1879,twice,Weak
R1879,due,Strong
R1879,lead,Strong
R1879,affect,Strong
R1879,consistent,None
R1879,alter,Strong
R1879,contribute,Moderate
R1879,change,Weak
R1879,associate,None
R1879,present,None
R1879,elevate,Strong
R1879,factor,Moderate
R1879,better,Weak
R1879,greater,Weak
R1879,effect,Strong
R1879,response,Strong
R1879,cause,Strong
R1879,determinant,Strong
R1879,attribute,Strong
R1879,higher,Weak
R1879,precede,Moderate
R1879,occur,None
R1879,demonstrate,Moderate
R1879,produce,Strong
R1879,increase,Moderate
R1879,less,Weak
R1879,differ,Weak
R1879,prevent,Strong
R1879,reduce,Strong
R1879,role,Moderate
R1879,encourage,Strong
R1879,reveal,Weak
R1879,face,Weak
R1879,predict,Moderate
R1879,decline,Weak
R1879,correlate,None
R1879,influence,Strong
R1879,compare,None
R1879,lower,Weak
R1879,trend,Weak
R1879,experience,None
R1928,present,None
R1928,role,Moderate
R1928,lower,None
R1928,confer,Strong
R1928,likelihood,Weak
R1928,greater,None
R1928,explain,Strong
R1928,due,Strong
R1928,alter,Strong
R1928,correlate,None
R1928,higher,None
R1928,result,Moderate
R1928,encourage,Moderate
R1928,link,None
R1928,differ,None
R1928,appear,None
R1928,determinant,Moderate
R1928,effect,Moderate
R1928,increase,Moderate
R1928,indicate,None
R1928,impact,Moderate
R1928,maintain,Moderate
R1928,response,Strong
R1928,reduce,Moderate
R1928,precede,None
R1928,less,None
R1928,enhance,Strong
R1928,achieve,Strong
R1928,affect,Strong
R1928,decline,Moderate
R1928,risk,Weak
R1928,benefit,Moderate
R1928,lead,Moderate
R1928,twice,None
R1928,vary,None
R1928,factor,None
R1928,observe,None
R1928,prevent,Strong
R1928,attribute,Strong
R1928,excess,Weak
R1928,demonstrate,Moderate
R1928,marker,Moderate
R1928,experience,Weak
R1928,likely,None
R1928,influence,Strong
R1928,change,Weak
R1928,similar,None
R1928,produce,Moderate
R1928,reveal,Weak
R1928,compare,None
R1928,trend,Weak
R1928,better,Moderate
R1928,consistent,None
R1928,elevate,None
R1928,effective,Strong
R1928,occur,None
R1928,improve,Strong
R1928,contribute,Moderate
R1928,worse,Moderate
R1928,cause,Strong
R1928,protect,Strong
R1928,decrease,Weak
R1928,face,None
R1928,predict,Moderate
R1928,associate,None
R1928,relate,None
R1928,risk factor,Strong
R2228,improve,Strong
R2228,elevate,Moderate
R2228,alter,Strong
R2228,excess,Weak
R2228,worse,Moderate
R2228,enhance,Moderate
R2228,factor,Weak
R2228,achieve,Strong
R2228,protect,Strong
R2228,change,Strong
R2228,better,Moderate
R2228,indicate,None
R2228,relate,Weak
R2228,encourage,Strong
R2228,present,None
R2228,influence,Strong
R2228,benefit,Strong
R2228,result,Strong
R2228,appear,None
R2228,marker,Weak
R2228,less,Weak
R2228,compare,Weak
R2228,higher,Weak
R2228,similar,Weak
R2228,decrease,Strong
R2228,cause,Strong
R2228,precede,Weak
R2228,maintain,Strong
R2228,reveal,None
R2228,effective,Strong
R2228,consistent,Weak
R2228,twice,None
R2228,prevent,Strong
R2228,impact,Strong
R2228,face,None
R2228,determinant,Strong
R2228,decline,Strong
R2228,effect,Strong
R2228,increase,Moderate
R2228,vary,None
R2228,confer,Strong
R2228,affect,Strong
R2228,greater,Weak
R2228,lower,Weak
R2228,link,Weak
R2228,risk,None
R2228,lead,Strong
R2228,correlate,None
R2228,associate,None
R2228,likelihood,None
R2228,predict,None
R2228,explain,Weak
R2228,demonstrate,None
R2228,observe,None
R2228,trend,None
R2228,role,Moderate
R2228,occur,None
R2228,differ,Weak
R2228,likely,Weak
R2228,reduce,Moderate
R2228,response,Weak
R2228,contribute,Strong
R2228,due,Strong
R2228,produce,Strong
R2228,experience,None
R2228,risk factor,Weak
R2228,attribute,Strong
R2324,prevent,Strong
R2324,attribute,Weak
R2324,experience,Weak
R2324,maintain,Moderate
R2324,response,Weak
R2324,alter,Moderate
R2324,produce,Strong
R2324,twice,Strong
R2324,consistent,Moderate
R2324,precede,Weak
R2324,effect,Weak
R2324,occur,Weak
R2324,correlate,Moderate
R2324,effective,Moderate
R2324,impact,Moderate
R2324,link,Weak
R2324,result,Moderate
R2324,higher,Weak
R2324,vary,None
R2324,encourage,None
R2324,elevate,Weak
R2324,face,None
R2324,explain,Strong
R2324,appear,Weak
R2324,compare,None
R2324,improve,Weak
R2324,similar,Weak
R2324,relate,Weak
R2324,greater,Weak
R2324,contribute,Weak
R2324,excess,None
R2324,worse,Moderate
R2324,better,Moderate
R2324,differ,Weak
R2324,increase,Moderate
R2324,lead,Strong
R2324,likely,Weak
R2324,confer,Weak
R2324,protect,Strong
R2324,present,None
R2324,indicate,Weak
R2324,achieve,Moderate
R2324,marker,Moderate
R2324,influence,Moderate
R2324,enhance,Moderate
R2324,decrease,Weak
R2324,less,Moderate
R2324,demonstrate,Moderate
R2324,associate,Moderate
R2324,reduce,Moderate
R2324,role,Weak
R2324,affect,Moderate
R2324,change,Moderate
R2324,factor,Weak
R2324,risk,Moderate
R2324,determinant,Strong
R2324,decline,Moderate
R2324,likelihood,Weak
R2324,cause,Strong
R2324,benefit,Strong
R2324,risk factor,Moderate
R2324,due,Strong
R2324,observe,Moderate
R2324,reveal,Strong
R2324,lower,Weak
R2324,trend,Weak
R2324,predict,Moderate
R2460,worse,Weak
R2460,consistent,Weak
R2460,effect,Strong
R2460,due,Weak
R2460,enhance,Moderate
R2460,decrease,Moderate
R2460,greater,Weak
R2460,trend,None
R2460,result,None
R2460,indicate,None
R2460,link,Weak
R2460,alter,Weak
R2460,differ,Weak
R2460,present,Weak
R2460,associate,Strong
R2460,cause,Strong
R2460,risk,Moderate
R2460,achieve,Weak
R2460,encourage,Weak
R2460,attribute,Moderate
R2460,compare,Weak
R2460,affect,Weak
R2460,appear,Weak
R2460,protect,Strong
R2460,face,Weak
R2460,impact,Moderate
R2460,predict,Moderate
R2460,improve,Moderate
R2460,factor,Weak
R2460,better,Weak
R2460,demonstrate,Moderate
R2460,influence,Weak
R2460,role,Weak
R2460,decline,Weak
R2460,maintain,Weak
R2460,likelihood,Moderate
R2460,relate,Moderate
R2460,increase,Weak
R2460,excess,Moderate
R2460,produce,None
R2460,prevent,Strong
R2460,effective,Strong
R2460,observe,Moderate
R2460,confer,Weak
R2460,higher,Weak
R2460,response,Weak
R2460,lower,Weak
R2460,contribute,Weak
R2460,occur,Moderate
R2460,experience,Weak
R2460,explain,Weak
R2460,vary,Weak
R2460,reduce,Moderate
R2460,similar,None
R2460,risk factor,Moderate
R2460,likely,None
R2460,change,Weak
R2460,twice,None
R2460,correlate,Moderate
R2460,reveal,None
R2460,less,Weak
R2460,determinant,Strong
R2460,precede,Strong
R2460,marker,Moderate
R2460,lead,Weak
R2460,elevate,Moderate
R2460,benefit,None
R2554,demonstrate,Weak
R2554,occur,None
R2554,decrease,Strong
R2554,cause,Strong
R2554,lower,Strong
R2554,worse,Moderate
R2554,increase,Strong
R2554,risk factor,None
R2554,reduce,Strong
R2554,twice,Weak
R2554,observe,None
R2554,encourage,Moderate
R2554,predict,Moderate
R2554,elevate,Strong
R2554,effect,Moderate
R2554,decline,Strong
R2554,prevent,Strong
R2554,produce,Strong
R2554,present,None
R2554,change,Moderate
R2554,differ,None
R2554,appear,None
R2554,due,Strong
R2554,alter,Strong
R2554,improve,Strong
R2554,confer,Weak
R2554,greater,Weak
R2554,marker,Moderate
R2554,explain,Moderate
R2554,enhance,Strong
R2554,result,Strong
R2554,indicate,None
R2554,relate,None
R2554,benefit,Moderate
R2554,likelihood,None
R2554,role,Weak
R2554,higher,Weak
R2554,lead,Strong
R2554,impact,Moderate
R2554,consistent,None
R2554,contribute,Strong
R2554,influence,Strong
R2554,maintain,Moderate
R2554,factor,Weak
R2554,compare,None
R2554,risk,Weak
R2554,trend,Moderate
R2554,face,Weak
R2554,better,None
R2554,less,None
R2554,vary,Weak
R2554,effective,Strong
R2554,link,None
R2554,similar,None
R2554,affect,Moderate
R2554,response,Moderate
R2554,reveal,None
R2554,likely,None
R2554,precede,Strong
R2554,attribute,Moderate
R2554,protect,Strong
R2554,excess,None
R2554,correlate,None
R2554,associate,None
R2554,experience,Weak
R2554,achieve,Moderate
R2554,determinant,Moderate
R2573,improve,Moderate
R2573,greater,Weak
R2573,increase,Moderate
R2573,risk,Weak
R2573,response,Moderate
R2573,higher,Moderate
R2573,effect,Strong
R2573,benefit,Strong
R2573,predict,Weak
R2573,trend,Weak
R2573,prevent,Moderate
R2573,correlate,Weak
R2573,lower,Weak
R2573,indicate,Weak
R2573,precede,Weak
R2573,likelihood,Weak
R2573,marker,Weak
R2573,differ,Weak
R2573,demonstrate,Moderate
R2573,compare,Weak
R2573,reveal,Weak
R2573,associate,Weak
R2573,factor,Weak
R2573,reduce,Moderate
R2573,produce,Moderate
R2573,link,None
R2573,enhance,Weak
R2573,affect,Strong
R2573,effective,Moderate
R2573,encourage,Weak
R2573,explain,Moderate
R2573,occur,Weak
R2573,protect,Moderate
R2573,due,Moderate
R2573,vary,Weak
R2573,impact,Weak
R2573,lead,Moderate
R2573,twice,None
R2573,decrease,Weak
R2573,determinant,Moderate
R2573,confer,Strong
R2573,consistent,Weak
R2573,observe,Weak
R2573,change,Weak
R2573,elevate,Moderate
R2573,achieve,Weak
R2573,similar,Weak
R2573,relate,Moderate
R2573,likely,Moderate
R2573,risk factor,Weak
R2573,cause,Strong
R2573,role,Weak
R2573,excess,Weak
R2573,present,Weak
R2573,experience,Weak
R2573,decline,Weak
R2573,result,Moderate
R2573,worse,Weak
R2573,alter,Moderate
R2573,less,None
R2573,face,Weak
R2573,contribute,Weak
R2573,appear,Weak
R2573,maintain,Moderate
R2573,attribute,Moderate
R2573,better,Weak
R2573,influence,Weak
R2701,elevate,Moderate
R2701,appear,Weak
R2701,alter,Strong
R2701,marker,Moderate
R2701,link,Weak
R2701,confer,Moderate
R2701,benefit,Moderate
R2701,demonstrate,Weak
R2701,improve,Strong
R2701,maintain,Moderate
R2701,greater,Moderate
R2701,higher,Moderate
R2701,achieve,Moderate
R2701,occur,Weak
R2701,contribute,Moderate
R2701,associate,Moderate
R2701,predict,Moderate
R2701,present,Weak
R2701,decrease,Strong
R2701,likely,Moderate
R2701,lower,Moderate
R2701,factor,Moderate
R2701,indicate,Weak
R2701,influence,Strong
R2701,decline,Moderate
R2701,twice,None
R2701,precede,None
R2701,less,Weak
R2701,risk factor,Moderate
R2701,affect,Strong
R2701,determinant,Strong
R2701,role,Moderate
R2701,compare,Moderate
R2701,produce,Strong
R2701,change,Strong
R2701,effective,Strong
R2701,vary,None
R2701,similar,Weak
R2701,trend,Weak
R2701,lead,Strong
R2701,observe,Weak
R2701,response,Moderate
R2701,enhance,Moderate
R2701,experience,Weak
R2701,result,Strong
R2701,prevent,Strong
R2701,impact,Strong
R2701,consistent,Weak
R2701,encourage,Moderate
R2701,explain,Moderate
R2701,reveal,Weak
R2701,increase,Moderate
R2701,risk,Moderate
R2701,attribute,Strong
R2701,due,Strong
R2701,likelihood,Moderate
R2701,effect,Strong
R2701,correlate,None
R2701,worse,Weak
R2701,cause,Strong
R2701,better,Moderate
R2701,protect,Moderate
R2701,differ,Moderate
R2701,face,None
R2701,excess,Moderate
R2701,relate,Weak
R2701,reduce,Strong
R2767,worse,Strong
R2767,determinant,Strong
R2767,response,Moderate
R2767,decrease,Strong
R2767,higher,Moderate
R2767,risk,Moderate
R2767,likelihood,Moderate
R2767,greater,Moderate
R2767,due,Strong
R2767,correlate,Weak
R2767,face,Moderate
R2767,associate,Weak
R2767,consistent,Moderate
R2767,decline,Strong
R2767,excess,Moderate
R2767,protect,Strong
R2767,prevent,Strong
R2767,produce,Strong
R2767,increase,Moderate
R2767,twice,Moderate
R2767,explain,Moderate
R2767,lead,Strong
R2767,influence,Strong
R2767,benefit,Moderate
R2767,risk factor,Moderate
R2767,alter,Moderate
R2767,vary,Moderate
R2767,differ,Moderate
R2767,elevate,Strong
R2767,maintain,Moderate
R2767,improve,Strong
R2767,confer,Strong
R2767,likely,Weak
R2767,appear,Weak
R2767,compare,Moderate
R2767,better,Strong
R2767,factor,Moderate
R2767,change,Strong
R2767,reveal,Moderate
R2767,relate,Moderate
R2767,effective,Moderate
R2767,demonstrate,Moderate
R2767,encourage,Moderate
R2767,attribute,Strong
R2767,impact,Strong
R2767,result,Strong
R2767,achieve,Strong
R2767,trend,Weak
R2767,predict,Weak
R2767,lower,Moderate
R2767,reduce,Strong
R2767,contribute,Strong
R2767,indicate,Moderate
R2767,enhance,Moderate
R2767,effect,Strong
R2767,cause,Strong
R2767,present,Moderate
R2767,similar,Moderate
R2767,occur,Moderate
R2767,experience,Moderate
R2767,observe,Weak
R2767,less,Moderate
R2767,affect,Strong
R2767,precede,Moderate
R2767,link,Moderate
R2767,role,Strong
R2767,marker,Weak
R2835,reveal,Moderate
R2835,enhance,Moderate
R2835,compare,Weak
R2835,protect,Strong
R2835,improve,Moderate
R2835,result,Strong
R2835,less,Weak
R2835,prevent,Strong
R2835,maintain,Weak
R2835,relate,None
R2835,similar,Weak
R2835,associate,None
R2835,factor,Moderate
R2835,elevate,Moderate
R2835,occur,Weak
R2835,encourage,Weak
R2835,excess,Moderate
R2835,role,Weak
R2835,predict,Moderate
R2835,better,Moderate
R2835,likely,Weak
R2835,benefit,Weak
R2835,demonstrate,Weak
R2835,lead,Strong
R2835,decrease,Strong
R2835,effective,Strong
R2835,decline,Strong
R2835,trend,Weak
R2835,risk factor,Moderate
R2835,contribute,Weak
R2835,observe,None
R2835,higher,Moderate
R2835,change,Moderate
R2835,indicate,Weak
R2835,present,Weak
R2835,lower,Strong
R2835,produce,Moderate
R2835,marker,Moderate
R2835,consistent,Weak
R2835,attribute,Strong
R2835,achieve,Strong
R2835,influence,Strong
R2835,determinant,Moderate
R2835,response,Moderate
R2835,experience,Moderate
R2835,link,Moderate
R2835,due,Moderate
R2835,impact,Strong
R2835,face,Strong
R2835,risk,Strong
R2835,twice,Moderate
R2835,alter,Moderate
R2835,reduce,Strong
R2835,appear,Weak
R2835,affect,Strong
R2835,precede,Strong
R2835,worse,Moderate
R2835,cause,Strong
R2835,greater,Moderate
R2835,effect,Strong
R2835,increase,Strong
R2835,differ,Weak
R2835,explain,Strong
R2835,confer,Moderate
R2835,likelihood,Weak
R2835,vary,Weak
R2835,correlate,None
R3018,present,Moderate
R3018,correlate,Weak
R3018,likely,Weak
R3018,factor,Moderate
R3018,associate,None
R3018,explain,Strong
R3018,attribute,Strong
R3018,contribute,Moderate
R3018,risk,Moderate
R3018,likelihood,Weak
R3018,alter,Strong
R3018,link,Weak
R3018,result,Strong
R3018,higher,Moderate
R3018,better,None
R3018,maintain,Weak
R3018,protect,Strong
R3018,change,Strong
R3018,predict,Moderate
R3018,decline,Weak
R3018,produce,Strong
R3018,observe,None
R3018,excess,Weak
R3018,effect,Strong
R3018,cause,Strong
R3018,achieve,Strong
R3018,less,Weak
R3018,decrease,Weak
R3018,demonstrate,Weak
R3018,enhance,Moderate
R3018,elevate,Moderate
R3018,precede,None
R3018,appear,Weak
R3018,vary,None
R3018,differ,None
R3018,occur,Weak
